rank,rank_last_week,weeks_on_list,asterisk,dagger,primary_isbn10,primary_isbn13,publisher,description,price,title,author,contributor,contributor_note,book_image,book_image_width,book_image_height,amazon_product_url,age_group,book_review_link,first_chapter_link,sunday_review_link,article_chapter_link,isbns,buy_links,book_uri,week,nyt_list
1,0,89,0,0,0062457802,9780062457806,Quill Tree,,0.00,THEY BOTH DIE AT THE END,Adam Silvera,by Adam Silvera,,https://storage.googleapis.com/du-prd/books/images/9780062457790.jpg,327,495,https://www.amazon.com/They-Both-Die-at-End/dp/0062457799?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0062457799', 'isbn13': '9780062457790'}, {'isbn10': '0062457802', 'isbn13': '9780062457806'}, {'isbn10': '147116621X', 'isbn13': '9781471166211'}, {'isbn10': '0062457810', 'isbn13': '9780062457813'}, {'isbn10': '0606414312', 'isbn13': '9780606414319'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/They-Both-Die-at-End/dp/0062457799?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780062457806?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780062457806'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHEY%252BBOTH%252BDIE%252BAT%252BTHE%252BEND%252FAdam%252BSilvera%252F9780062457806&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHEY%252BBOTH%252BDIE%252BAT%252BTHE%252BEND%252BAdam%252BSilvera'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780062457806&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTHEY%2BBOTH%2BDIE%2BAT%2BTHE%2BEND'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780062457806%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHEY%2BBOTH%2BDIE%2BAT%2BTHE%2BEND%2BAdam%2BSilvera%26aff%3DNYT'}]",nyt://book/ee569b8a-1b59-5af7-ab27-c6e697978460,2022-06-05,Young Adult Paperback Monthly
2,0,102,0,0,0385741278,9780385741279,Ember,,0.00,WE WERE LIARS,E. Lockhart,by E. Lockhart,,https://storage.googleapis.com/du-prd/books/images/9780375984402.jpg,128,194,http://www.amazon.com/We-Were-Liars-E-Lockhart-ebook/dp/B00FPOSDGY?tag=NYTBSREV-20,,,,https://www.nytimes.com/2014/05/11/books/review/we-were-liars-by-e-lockhart.html,,"[{'isbn10': '0375984402', 'isbn13': '9780375984402'}, {'isbn10': '038574126X', 'isbn13': '9780385741262'}, {'isbn10': '0375989943', 'isbn13': '9780375989940'}, {'isbn10': '0385741278', 'isbn13': '9780385741279'}, {'isbn10': '1524764582', 'isbn13': '9781524764586'}, {'isbn10': '1432888625', 'isbn13': '9781432888626'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/We-Were-Liars-E-Lockhart-ebook/dp/B00FPOSDGY?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780385741279?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780385741279'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FWE%252BWERE%252BLIARS%252FE.%252BLockhart%252F9780385741279&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DWE%252BWERE%252BLIARS%252BE.%252BLockhart'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780385741279&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DWE%2BWERE%2BLIARS'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780385741279%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DWE%2BWERE%2BLIARS%2BE.%2BLockhart%26aff%3DNYT'}]",nyt://book/a474c5c9-ee75-5774-bda1-74f7bc37f83b,2022-06-05,Young Adult Paperback Monthly
3,0,46,0,0,0759555400,9780759555402,"Little, Brown",,0.00,THE INHERITANCE GAMES,Jennifer Lynn Barnes,by Jennifer Lynn Barnes,,https://storage.googleapis.com/du-prd/books/images/9780759554085.jpg,331,500,https://www.amazon.com/dp/1368052401?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1368052401', 'isbn13': '9781368052405'}, {'isbn10': '0759555400', 'isbn13': '9780759555402'}, {'isbn10': '1368053246', 'isbn13': '9781368053242'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1368052401?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780759555402?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780759555402'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BINHERITANCE%252BGAMES%252FJennifer%252BLynn%252BBarnes%252F9780759555402&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BINHERITANCE%252BGAMES%252BJennifer%252BLynn%252BBarnes'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780759555402&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTHE%2BINHERITANCE%2BGAMES'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780759555402%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BINHERITANCE%2BGAMES%2BJennifer%2BLynn%2BBarnes%26aff%3DNYT'}]",nyt://book/e2abd326-9377-54d9-bf9c-5125478dd1c1,2022-06-05,Young Adult Paperback Monthly
4,0,37,0,0,1101934743,9781101934746,Ember,,0.00,GIRL IN PIECES,Kathleen Glasgow,by Kathleen Glasgow,,https://storage.googleapis.com/du-prd/books/images/9781101934715.jpg,328,495,http://www.amazon.com/Girl-Pieces-Kathleen-Glasgow/dp/1101934719?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1101934719', 'isbn13': '9781101934715'}, {'isbn10': '1101934743', 'isbn13': '9781101934746'}, {'isbn10': '1101934727', 'isbn13': '9781101934722'}, {'isbn10': '1786071398', 'isbn13': '9781786071392'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Girl-Pieces-Kathleen-Glasgow/dp/1101934719?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781101934746?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781101934746'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FGIRL%252BIN%252BPIECES%252FKathleen%252BGlasgow%252F9781101934746&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DGIRL%252BIN%252BPIECES%252BKathleen%252BGlasgow'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781101934746&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DGIRL%2BIN%2BPIECES'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781101934746%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DGIRL%2BIN%2BPIECES%2BKathleen%2BGlasgow%26aff%3DNYT'}]",nyt://book/4c61a5f1-f0f8-5184-978c-c7056c96a644,2022-06-05,Young Adult Paperback Monthly
5,0,2,0,0,1536225266,9781536225266,Walker,,0.00,ALL OUR HIDDEN GIFTS,Caroline O'Donoghue,by Caroline O'Donoghue,,https://storage.googleapis.com/du-prd/books/images/9781536225266.jpg,333,500,https://www.amazon.com/dp/1536225266?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1536225266', 'isbn13': '9781536225266'}, {'isbn10': '1536218367', 'isbn13': '9781536218367'}, {'isbn10': '1536213942', 'isbn13': '9781536213942'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1536225266?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781536225266?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781536225266'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FALL%252BOUR%252BHIDDEN%252BGIFTS%252FCaroline%252BO%252527Donoghue%252F9781536225266&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DALL%252BOUR%252BHIDDEN%252BGIFTS%252BCaroline%252BO%252527Donoghue'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781536225266&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DALL%2BOUR%2BHIDDEN%2BGIFTS'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781536225266%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DALL%2BOUR%2BHIDDEN%2BGIFTS%2BCaroline%2BO%2527Donoghue%26aff%3DNYT'}]",nyt://book/551bad5f-4a32-5a4c-9759-87a01880bd8d,2022-06-05,Young Adult Paperback Monthly
6,0,115,0,0,0375842209,9780375842207,Knopf,,0.00,THE BOOK THIEF,Markus Zusak,by Markus Zusak,,https://storage.googleapis.com/du-prd/books/images/9780375842207.jpg,321,495,http://www.amazon.com/The-Book-Thief-Markus-Zusak/dp/0375842209?tag=NYTBSREV-20,,https://www.nytimes.com/2006/03/27/books/27masl.html,,https://www.nytimes.com/2006/05/14/books/review/14greenj.html,,"[{'isbn10': '0375842209', 'isbn13': '9780375842207'}, {'isbn10': '0307433846', 'isbn13': '9780307433848'}, {'isbn10': '0375931007', 'isbn13': '9780375931000'}, {'isbn10': '0385754728', 'isbn13': '9780385754729'}, {'isbn10': '0375831002', 'isbn13': '9780375831003'}, {'isbn10': '1101934182', 'isbn13': '9781101934180'}, {'isbn10': '1410468062', 'isbn13': '9781410468062'}, {'isbn10': '0553513141', 'isbn13': '9780553513141'}, {'isbn10': '0756984408', 'isbn13': '9780756984403'}, {'isbn10': '1439589054', 'isbn13': '9781439589052'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/The-Book-Thief-Markus-Zusak/dp/0375842209?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780375842207?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780375842207'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BBOOK%252BTHIEF%252FMarkus%252BZusak%252F9780375842207&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BBOOK%252BTHIEF%252BMarkus%252BZusak'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780375842207&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTHE%2BBOOK%2BTHIEF'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780375842207%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BBOOK%2BTHIEF%2BMarkus%2BZusak%26aff%3DNYT'}]",nyt://book/535c6937-87ea-5803-a820-cc3cb3114056,2022-06-05,Young Adult Paperback Monthly
7,0,11,0,0,0593125010,9780593125014,Delacorte,,0.00,THE FEAR,Natasha Preston,by Natasha Preston,,https://storage.googleapis.com/du-prd/books/images/9780593125014.jpg,333,500,https://www.amazon.com/dp/0593125010?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0593125010', 'isbn13': '9780593125014'}, {'isbn10': '0593125037', 'isbn13': '9780593125038'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0593125010?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780593125014?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780593125014'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHE%252BFEAR%252FNatasha%252BPreston%252F9780593125014&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHE%252BFEAR%252BNatasha%252BPreston'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780593125014&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTHE%2BFEAR'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780593125014%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHE%2BFEAR%2BNatasha%2BPreston%26aff%3DNYT'}]",nyt://book/2955d090-51ef-5da8-b9b8-0af2400b248c,2022-06-05,Young Adult Paperback Monthly
8,0,80,0,0,125007696X,9781250076960,Square Fish,,0.00,SIX OF CROWS,Leigh Bardugo,by Leigh Bardugo,,https://storage.googleapis.com/du-prd/books/images/9781627792127.jpg,330,491,http://www.amazon.com/Six-Crows-Leigh-Bardugo/dp/1627792120?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1627792120', 'isbn13': '9781627792127'}, {'isbn10': '1627795227', 'isbn13': '9781627795227'}, {'isbn10': '1511343524', 'isbn13': '9781511343527'}, {'isbn10': '125007696X', 'isbn13': '9781250076960'}, {'isbn10': '1250777909', 'isbn13': '9781250777904'}, {'isbn10': '162779509X', 'isbn13': '9781627795098'}]","[{'name': 'Amazon', 'url': 'http://www.amazon.com/Six-Crows-Leigh-Bardugo/dp/1627792120?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781250076960?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781250076960'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FSIX%252BOF%252BCROWS%252FLeigh%252BBardugo%252F9781250076960&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DSIX%252BOF%252BCROWS%252BLeigh%252BBardugo'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781250076960&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DSIX%2BOF%2BCROWS'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781250076960%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DSIX%2BOF%2BCROWS%2BLeigh%2BBardugo%26aff%3DNYT'}]",nyt://book/90141a33-530f-5f44-a4b9-90ef74230800,2022-06-05,Young Adult Paperback Monthly
9,0,10,0,0,0525555277,9780525555278,Dutton,,0.00,LAST NIGHT AT THE TELEGRAPH CLUB,Malinda Lo,by Malinda Lo,,https://storage.googleapis.com/du-prd/books/images/9780525555278.jpg,331,500,https://www.amazon.com/dp/0525555277?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0525555277', 'isbn13': '9780525555278'}, {'isbn10': '0525555250', 'isbn13': '9780525555254'}, {'isbn10': '0525555269', 'isbn13': '9780525555261'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/0525555277?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780525555278?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780525555278'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FLAST%252BNIGHT%252BAT%252BTHE%252BTELEGRAPH%252BCLUB%252FMalinda%252BLo%252F9780525555278&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DLAST%252BNIGHT%252BAT%252BTHE%252BTELEGRAPH%252BCLUB%252BMalinda%252BLo'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780525555278&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DLAST%2BNIGHT%2BAT%2BTHE%2BTELEGRAPH%2BCLUB'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780525555278%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DLAST%2BNIGHT%2BAT%2BTHE%2BTELEGRAPH%2BCLUB%2BMalinda%2BLo%26aff%3DNYT'}]",nyt://book/af17ecaf-8647-5744-8ab5-8343f50a39bb,2022-06-05,Young Adult Paperback Monthly
10,0,7,0,0,1728231892,9781728231891,Sourcebooks Fire,,0.00,LOCK THE DOORS,Vincent Ralph,by Vincent Ralph,,https://storage.googleapis.com/du-prd/books/images/9781728231891.jpg,333,500,https://www.amazon.com/dp/1728231892?tag=NYTBSREV-20,,,,,,"[{'isbn10': '1728231892', 'isbn13': '9781728231891'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/dp/1728231892?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9781728231891?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9781728231891'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FLOCK%252BTHE%252BDOORS%252FVincent%252BRalph%252F9781728231891&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DLOCK%252BTHE%252BDOORS%252BVincent%252BRalph'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9781728231891&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DLOCK%2BTHE%2BDOORS'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9781728231891%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DLOCK%2BTHE%2BDOORS%2BVincent%2BRalph%26aff%3DNYT'}]",nyt://book/068a7158-e534-56e1-a7cb-02112662bec9,2022-06-05,Young Adult Paperback Monthly
1,0,89,0,0,0062457802,9780062457806,Quill Tree,,0.00,THEY BOTH DIE AT THE END,Adam Silvera,by Adam Silvera,,https://storage.googleapis.com/du-prd/books/images/9780062457790.jpg,327,495,https://www.amazon.com/They-Both-Die-at-End/dp/0062457799?tag=NYTBSREV-20,,,,,,"[{'isbn10': '0062457799', 'isbn13': '9780062457790'}, {'isbn10': '0062457802', 'isbn13': '9780062457806'}, {'isbn10': '147116621X', 'isbn13': '9781471166211'}, {'isbn10': '0062457810', 'isbn13': '9780062457813'}, {'isbn10': '0606414312', 'isbn13': '9780606414319'}]","[{'name': 'Amazon', 'url': 'https://www.amazon.com/They-Both-Die-at-End/dp/0062457799?tag=NYTBSREV-20'}, {'name': 'Apple Books', 'url': 'https://goto.applebooks.apple/9780062457806?at=10lIEQ'}, {'name': 'Barnes and Noble', 'url': 'https://www.anrdoezrs.net/click-7990613-11819508?url=https%3A%2F%2Fwww.barnesandnoble.com%2Fw%2F%3Fean%3D9780062457806'}, {'name': 'Books-A-Million', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fp%252FTHEY%252BBOTH%252BDIE%252BAT%252BTHE%252BEND%252FAdam%252BSilvera%252F9780062457806&url2=https%3A%2F%2Fwww.anrdoezrs.net%2Fclick-7990613-35140%3Furl%3Dhttps%253A%252F%252Fwww.booksamillion.com%252Fsearch%253Fquery%253DTHEY%252BBOTH%252BDIE%252BAT%252BTHE%252BEND%252BAdam%252BSilvera'}, {'name': 'Bookshop', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fbookshop.org%2Fa%2F3546%2F9780062457806&url2=https%3A%2F%2Fbookshop.org%2Fbooks%3Faffiliate%3D3546%26keywords%3DTHEY%2BBOTH%2BDIE%2BAT%2BTHE%2BEND'}, {'name': 'IndieBound', 'url': 'https://du-gae-books-dot-nyt-du-prd.appspot.com/redirect?url1=https%3A%2F%2Fwww.indiebound.org%2Fbook%2F9780062457806%3Faff%3DNYT&url2=https%3A%2F%2Fwww.indiebound.org%2Fsearch%2Fbook%3Fkeys%3DTHEY%2BBOTH%2BDIE%2BAT%2BTHE%2BEND%2BAdam%2BSilvera%26aff%3DNYT'}]",nyt://book/ee569b8a-1b59-5af7-ab27-c6e697978460,2022-05-29,Young Adult Paperback Monthly
